id,title,source_url,source_date,vacancies,published_deadline,content_file
1,IOCL Executive Recruitment through CBT 2026,https://www.indgovtjobs.in/2026/08/iocl-executive-recruitment-through-cbt.html,02 September 2026,470,03 September 2026,posts/01_iocl-executive-recruitment-through-cbt-2026.md
2,SBI Clerk Recruitment 2026,https://www.indgovtjobs.in/2026/08/sbi-clerk-recruitment.html,18 August 2026,9766,31 August 2026,posts/02_sbi-clerk-recruitment-2026.md
3,AAI Northern Region Apprentice Recruitment 2026,https://www.indgovtjobs.in/2026/08/aai-northern-region-apprentice.html,29 August 2026,205,16 September 2026,posts/03_aai-northern-region-apprentice-recruitment-2026.md
4,Maharashtra Metro Rail Recruitment 2026,https://www.indgovtjobs.in/2026/08/maharashtra-metro-rail-recruitment-2026.html,26 August 2026,56,25 September 2026,posts/04_maharashtra-metro-rail-recruitment-2026.md
5,IIIT Vadodara Assistant Professor Recruitment 2026,https://www.indgovtjobs.in/2026/08/iiit-vadodara-assistant-professor.html,26 August 2026,25,15 September 2026,posts/05_iiit-vadodara-assistant-professor-recruitment-2026.md
6,IIT BHU Non Teaching Recruitment 2026,https://www.indgovtjobs.in/2026/08/iit-bhu-non-teaching-recruitment-2026.html,30 August 2026,55,24 September 2026,posts/06_iit-bhu-non-teaching-recruitment-2026.md
7,Central University of Rajasthan Non Teaching Recruitment 2026,https://www.indgovtjobs.in/2026/08/central-university-of-rajasthan-non.html,30 August 2026,4,23 September 2026,posts/07_central-university-of-rajasthan-non-teaching-recruitment-2026.md
8,RFCL Experienced Professionals Recruitment 2026,https://www.indgovtjobs.in/2026/08/rfcl-experienced-professionals.html,30 August 2026,40,24 September 2026,posts/08_rfcl-experienced-professionals-recruitment-2026.md
9,GIPCL Diploma Mechanical Engineer Vacancy 2026,https://www.indgovtjobs.in/2026/08/gipcl-diploma-mechanical-engineer.html,30 August 2026,7,04 September 2026,posts/09_gipcl-diploma-mechanical-engineer-vacancy-2026.md
10,North Central Railway Cultural Quota Recruitment 2026,https://www.indgovtjobs.in/2026/08/north-central-railway-cultural-quota.html,30 August 2026,2,19 September 2026,posts/10_north-central-railway-cultural-quota-recruitment-2026.md
