file,word_token_count
01_iocl-executive-recruitment-through-cbt-2026.md,5516
02_sbi-clerk-recruitment-2026.md,5475
03_aai-northern-region-apprentice-recruitment-2026.md,5512
04_maharashtra-metro-rail-recruitment-2026.md,5494
05_iiit-vadodara-assistant-professor-recruitment-2026.md,5522
06_iit-bhu-non-teaching-recruitment-2026.md,5530
07_central-university-of-rajasthan-non-teaching-recruitment-2026.md,5539
08_rfcl-experienced-professionals-recruitment-2026.md,5490
09_gipcl-diploma-mechanical-engineer-vacancy-2026.md,5512
10_north-central-railway-cultural-quota-recruitment-2026.md,5519
11_stockholding-ciso-recruitment-2026.md,5467
12_ngel-engineer-executive-recruitment-2026.md,5483
13_csir-technician-recruitment-2026.md,5493
14_bhel-fta-supervisor-vacancy-2026.md,5474
15_aai-apprentice-recruitment-2026.md,5475
16_army-ordnance-corps-recruitment-2026.md,5486
17_hvpnl-apprentice-recruitment-2026.md,5471
18_konkan-railway-recruitment-2026.md,5465
19_cnci-specialist-and-scientist-recruitment-2026.md,5504
20_idex-dio-consultant-recruitment-2026.md,5473
21_ada-consultant-recruitment-2026.md,5456
22_hurl-recruitment-2026.md,5455
23_powergrid-apprentice-recruitment-2026.md,5493
24_beml-apprentice-recruitment-2026.md,5457
25_nsi-kanpur-young-professional-recruitment-2026.md,5502
26_upsc-advertisement-no-10-2026.md,5487
27_indian-statistical-institute-recruitment-2026.md,5522
28_ibps-specialist-officer-recruitment-2026.md,5499
29_iuac-apprentice-recruitment-2026.md,5461
30_rites-individual-consultant-recruitment-2026.md,5462
31_avnl-recruitment-2026.md,5457
32_dpcc-various-posts-recruitment-2026.md,5481
33_isro-lpsc-recruitment-2026.md,5489
34_rci-hyderabad-jrf-ra-recruitment-2026.md,5505
35_iit-bombay-technical-officer-nursing-other-posts-2026.md,5550
36_aweil-executive-finance-recruitment-2026.md,5492
37_income-tax-pune-sports-quota-recruitment-2026.md,5513
38_cpcl-junior-engineering-assistant-recruitment-2026.md,5504
39_indbank-relationship-manager-dealer-recruitment-2026.md,5514
40_high-court-of-karnataka-assistant-recruitment-2026.md,5519
